Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0475
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1376
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1241
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.4961
Franklin India Banking & PSU Debt Fund - Growth	22.4924
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.4661
Franklin India Banking and PSU Debt Fund - IDCW 	10.8500
HDFC Banking and PSU Debt Fund - Growth Option	23.087
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.037
HDFC Banking and PSU Debt Fund - IDCW Option	10.2413
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0021
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1521
HSBC Banking and PSU Debt Fund - Direct Growth	25.6218
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4206
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3398
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0756
HSBC Banking and PSU Debt Fund - Regular Growth	24.326
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6926
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3113
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.1996
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1053
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.8108
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0972
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1046.8311
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2434.3248
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1060.0845
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1008.3637
Invesco India Banking and PSU Fund - Growth Option	2273.928
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1058.9573
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3985
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3996
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.0581
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.0592
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.6433
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3328
